2018-07-31 16:14:06 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 status half-installed dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:06 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2018-07-31 16:14:06 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2018-07-31 16:14:06 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2018-07-31 16:14:06 install findutils:amd64 <none> 4.6.0+git+20160126-2
2018-07-31 16:14:06 status half-installed findutils:amd64 4.6.0+git+20160126-2
2018-07-31 16:14:06 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-07-31 16:14:06 status unpacked findutils:amd64 4.6.0+git+20160126-2
2018-07-31 16:14:07 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2018-07-31 16:14:07 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2018-07-31 16:14:07 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-07-31 16:14:07 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2018-07-31 16:14:07 install grep:amd64 <none> 2.24-1
2018-07-31 16:14:07 status half-installed grep:amd64 2.24-1
2018-07-31 16:14:07 status unpacked grep:amd64 2.24-1
2018-07-31 16:14:07 status unpacked grep:amd64 2.24-1
2018-07-31 16:14:07 install gzip:amd64 <none> 1.6-4ubuntu1
2018-07-31 16:14:07 status half-installed gzip:amd64 1.6-4ubuntu1
2018-07-31 16:14:07 status unpacked gzip:amd64 1.6-4ubuntu1
2018-07-31 16:14:07 status unpacked gzip:amd64 1.6-4ubuntu1
2018-07-31 16:14:07 install hostname:amd64 <none> 3.16ubuntu2
2018-07-31 16:14:07 status half-installed hostname:amd64 3.16ubuntu2
2018-07-31 16:14:07 status unpacked hostname:amd64 3.16ubuntu2
2018-07-31 16:14:07 status unpacked hostname:amd64 3.16ubuntu2
2018-07-31 16:14:07 install init:amd64 <none> 1.29ubuntu1
2018-07-31 16:14:07 status half-installed init:amd64 1.29ubuntu1
2018-07-31 16:14:07 status unpacked init:amd64 1.29ubuntu1
2018-07-31 16:14:07 status unpacked init:amd64 1.29ubuntu1
2018-07-31 16:14:07 install init-system-helpers:all <none> 1.29ubuntu1
2018-07-31 16:14:07 status half-installed init-system-helpers:all 1.29ubuntu1
2018-07-31 16:14:07 status unpacked init-system-helpers:all 1.29ubuntu1
2018-07-31 16:14:07 status unpacked init-system-helpers:all 1.29ubuntu1
2018-07-31 16:14:07 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2018-07-31 16:14:07 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2018-07-31 16:14:07 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-07-31 16:14:07 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-07-31 16:14:07 install insserv:amd64 <none> 1.14.0-5ubuntu3
2018-07-31 16:14:07 status half-installed insserv:amd64 1.14.0-5ubuntu3
2018-07-31 16:14:07 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-07-31 16:14:07 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-07-31 16:14:07 install libacl1:amd64 <none> 2.2.52-3
2018-07-31 16:14:07 status half-installed libacl1:amd64 2.2.52-3
2018-07-31 16:14:08 status unpacked libacl1:amd64 2.2.52-3
2018-07-31 16:14:08 status unpacked libacl1:amd64 2.2.52-3
2018-07-31 16:14:08 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2018-07-31 16:14:08 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2018-07-31 16:14:08 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-07-31 16:14:08 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-07-31 16:14:08 install libattr1:amd64 <none> 1:2.4.47-2
2018-07-31 16:14:08 status half-installed libattr1:amd64 1:2.4.47-2
2018-07-31 16:14:08 status unpacked libattr1:amd64 1:2.4.47-2
2018-07-31 16:14:08 status unpacked libattr1:amd64 1:2.4.47-2
2018-07-31 16:14:08 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2018-07-31 16:14:08 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2018-07-31 16:14:08 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2018-07-31 16:14:08 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2018-07-31 16:14:08 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2018-07-31 16:14:08 install libbz2-1.0:amd64 <none> 1.0.6-8
2018-07-31 16:14:08 status half-installed libbz2-1.0:amd64 1.0.6-8
2018-07-31 16:14:08 status unpacked libbz2-1.0:amd64 1.0.6-8
2018-07-31 16:14:08 status unpacked libbz2-1.0:amd64 1.0.6-8
2018-07-31 16:14:08 install libc-bin:amd64 <none> 2.23-0ubuntu3
2018-07-31 16:14:08 status half-installed libc-bin:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status unpacked libc-bin:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status unpacked libc-bin:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2018-07-31 16:14:09 status half-configured libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status half-installed libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status half-installed libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:09 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:10 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:10 install libcap2:amd64 <none> 1:2.24-12
2018-07-31 16:14:10 status half-installed libcap2:amd64 1:2.24-12
2018-07-31 16:14:10 status unpacked libcap2:amd64 1:2.24-12
2018-07-31 16:14:10 status unpacked libcap2:amd64 1:2.24-12
2018-07-31 16:14:10 install libcap2-bin:amd64 <none> 1:2.24-12
2018-07-31 16:14:10 status half-installed libcap2-bin:amd64 1:2.24-12
2018-07-31 16:14:10 status unpacked libcap2-bin:amd64 1:2.24-12
2018-07-31 16:14:10 status unpacked libcap2-bin:amd64 1:2.24-12
2018-07-31 16:14:10 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
